seed,logo_url,team_name,region
1,/images/Scoonies.jpg,TBD,South
2,/images/Scoonies.jpg,TBD,South
3,/images/Scoonies.jpg,TBD,South
4,/images/Scoonies.jpg,TBD,South
5,/images/Scoonies.jpg,TBD,South
6,/images/Scoonies.jpg,TBD,South
7,/images/Scoonies.jpg,TBD,South
8,/images/Scoonies.jpg,TBD,South
9,/images/Scoonies.jpg,TBD,South
10,/images/Scoonies.jpg,TBD,South
11,/images/Scoonies.jpg,TBD,South
12,/images/Scoonies.jpg,TBD,South
13,/images/Scoonies.jpg,TBD,South
14,/images/Scoonies.jpg,TBD,South
15,/images/Scoonies.jpg,TBD,South
16,/images/Scoonies.jpg,TBD,South
1,/images/Scoonies.jpg,TBD,West
2,/images/Scoonies.jpg,TBD,West
3,/images/Scoonies.jpg,TBD,West
4,/images/Scoonies.jpg,TBD,West
5,/images/Scoonies.jpg,TBD,West
6,/images/Scoonies.jpg,TBD,West
7,/images/Scoonies.jpg,TBD,West
8,/images/Scoonies.jpg,TBD,West
9,/images/Scoonies.jpg,TBD,West
10,/images/Scoonies.jpg,TBD,West
11,/images/Scoonies.jpg,TBD,West
12,/images/Scoonies.jpg,TBD,West
13,/images/Scoonies.jpg,TBD,West
14,/images/Scoonies.jpg,TBD,West
15,/images/Scoonies.jpg,TBD,West
16,/images/Scoonies.jpg,TBD,West
1,/images/Scoonies.jpg,TBD,East
2,/images/Scoonies.jpg,TBD,East
3,/images/Scoonies.jpg,TBD,East
4,/images/Scoonies.jpg,TBD,East
5,/images/Scoonies.jpg,TBD,East
6,/images/Scoonies.jpg,TBD,East
7,/images/Scoonies.jpg,TBD,East
8,/images/Scoonies.jpg,TBD,East
9,/images/Scoonies.jpg,TBD,East
10,/images/Scoonies.jpg,TBD,East
11,/images/Scoonies.jpg,TBD,East
12,/images/Scoonies.jpg,TBD,East
13,/images/Scoonies.jpg,TBD,East
14,/images/Scoonies.jpg,TBD,East
15,/images/Scoonies.jpg,TBD,East
16,/images/Scoonies.jpg,TBD,East
1,/images/Scoonies.jpg,TBD,Midwest
2,/images/Scoonies.jpg,TBD,Midwest
3,/images/Scoonies.jpg,TBD,Midwest
4,/images/Scoonies.jpg,TBD,Midwest
5,/images/Scoonies.jpg,TBD,Midwest
6,/images/Scoonies.jpg,TBD,Midwest
7,/images/Scoonies.jpg,TBD,Midwest
8,/images/Scoonies.jpg,TBD,Midwest
9,/images/Scoonies.jpg,TBD,Midwest
10,/images/Scoonies.jpg,TBD,Midwest
11,/images/Scoonies.jpg,TBD,Midwest
12,/images/Scoonies.jpg,TBD,Midwest
13,/images/Scoonies.jpg,TBD,Midwest
14,/images/Scoonies.jpg,TBD,Midwest
15,/images/Scoonies.jpg,TBD,Midwest
16,/images/Scoonies.jpg,TBD,Midwest
